lat,lon,name
"-22,843030","-43,234098",CCS (Banco do Brasil) e Lateral do CCS
"-22,842338","-43,232926",CCS (Ponto de Ônibus)
"-22,840866","-43,236747",Lateral 2 CSS
"-22,843572","-43,233356",EEFD
"-22,857986","-43,231277",CCMN - NCE
"-22,857986","-43,231277",CCMN - NCE Servidor
"-22,858171","-43,230755",Bloco A CT (Caronas)
"-22,859319","-43,232630",CT/CCMN 
"-22,859656","-43,228421",Lateral CT
"-22,861305","-43,226557",Letras
"-22,861801","-43,221583",Reitoria
"-22,860313","-43,227362",Vagas na rua em Letras
"-22,857839","-43,230742",Vagas na rua CCMN/CT
"-22,857768","-43,233951",Estacionamento IGEO
"-22,844898","-43,235063",Bandejão Central
